feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
"Motor_Current__fft_aggregated__aggtype_""skew""",Motor_Current,10.1568,3.2432,-6.9135,1.3284,1.0711,10.11,3.0347,5.7586,82330.0,9.171766323597189e-95,0.6446
"Temperature__fft_aggregated__aggtype_""skew""",Temperature,12.1544,5.231,-6.9234,1.3709,1.414,12.1552,4.9294,4.9678,81994.0,2.9809332779528405e-93,0.6188
Motor_Current__variation_coefficient,Motor_Current,0.0074,0.0745,0.0671,0.0029,0.0196,0.0067,0.075,4.6816,97.0,5.622887391394207e-95,0.6457
"Pressure__fft_aggregated__aggtype_""skew""",Pressure,8.6996,3.7329,-4.9667,1.1472,1.0075,8.5876,3.5219,4.6147,81619.0,1.4043998302904106e-91,0.608
Temperature__variance_larger_than_standard_deviation,Temperature,0.0,0.9169,0.9169,0.0,0.276,0.0,1.0,4.592,3425.0,6.730347301179413e-107,0.5515
Motor_Current__percentage_of_reoccurring_values_to_all_values,Motor_Current,0.4912,0.09,-0.4012,0.1224,0.0803,0.5,0.0714,3.9122,81853.0,6.343168728366837e-93,0.6025
Vibration__percentage_of_reoccurring_values_to_all_values,Vibration,0.678,0.1654,-0.5125,0.1579,0.1053,0.7,0.1538,3.8543,81781.5,1.9547270957431734e-92,0.5824
Pressure__percentage_of_reoccurring_values_to_all_values,Pressure,0.5631,0.1416,-0.4214,0.1256,0.1043,0.5625,0.1154,3.6668,81390.5,9.344185386421609e-91,0.5627
Vibration__standard_deviation,Vibration,0.0328,0.34,0.3072,0.0189,0.1267,0.0254,0.3308,3.3166,209.0,1.8025520250061937e-94,0.6408
"Vibration__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",Vibration,0.0056,0.0554,0.0498,0.0034,0.021,0.0046,0.0552,3.2396,239.0,2.461135737685454e-94,0.6251
